Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
1918.28,0.19305,4.085,49.02,38.78,79.111,10.24
1939.36,0.1716,3.7,44.4,34.85,78.491,9.55
1960.44,0.15015,3.314,39.768,30.825,77.512,8.943
1981.52,0.1287,2.928,35.136,26.706,76.008,8.43
2002.6,0.10725,2.543,30.516,22.492,73.706,8.024
2023.68,0.0858,2.157,25.884,18.183,70.248,7.701
2044.76,0.06435,1.771,21.252,13.779,64.836,7.473
2065.84,0.0429,1.385,16.62,9.281,55.842,7.339
2086.92,0.02145,1,12,4.688,39.067,7.312
2108,0,0.614,7.368,0,0,7.368
