Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.145,39.186,470.232,0,0,470.232
21.08,2.12355,38.8,465.6,4.688,1.007,460.912
42.16,2.1021,38.415,460.98,9.281,2.013,451.699
63.24,2.08065,38.029,456.348,13.779,3.019,442.569
84.32,2.0592,37.643,451.716,18.183,4.025,433.533
105.4,2.03775,37.257,447.084,22.492,5.031,424.592
126.48,2.0163,36.872,442.464,26.706,6.036,415.758
147.56,1.99485,36.486,437.832,30.825,7.04,407.007
168.64,1.9734,36.1,433.2,34.85,8.045,398.35
189.72,1.95195,35.715,428.58,38.78,9.048,389.8
210.8,1.9305,35.329,423.948,42.616,10.052,381.332
231.88,1.90905,34.943,419.316,46.356,11.055,372.96
252.96,1.8876,34.557,414.684,50.002,12.058,364.682
274.04,1.86615,34.172,410.064,53.554,13.06,356.51
295.12,1.8447,33.786,405.432,57.01,14.062,348.422
316.2,1.82325,33.4,400.8,60.372,15.063,340.428
337.28,1.8018,33.014,396.168,63.639,16.064,332.529
358.36,1.78035,32.629,391.548,66.812,17.064,324.736
379.44,1.7589,32.243,386.916,69.89,18.063,317.026
400.52,1.73745,31.857,382.284,72.873,19.063,309.411
421.6,1.716,31.472,377.664,75.761,20.06,301.903
442.68,1.69455,31.086,373.032,78.555,21.059,294.477
463.76,1.6731,30.7,368.4,81.254,22.056,287.146
484.84,1.65165,30.314,363.768,83.858,23.053,279.91
505.92,1.6302,29.929,359.148,86.368,24.048,272.78
527,1.60875,29.543,354.516,88.783,25.043,265.733
548.08,1.5873,29.157,349.884,91.103,26.038,258.781
569.16,1.56585,28.772,345.264,93.328,27.031,251.936
590.24,1.5444,28.386,340.632,95.459,28.024,245.173
611.32,1.52295,28,336,97.495,29.016,238.505
632.4,1.5015,27.614,331.368,99.436,30.008,231.932
653.48,1.48005,27.229,326.748,101.283,30.997,225.465
674.56,1.4586,26.843,322.116,103.035,31.987,219.081
695.64,1.43715,26.457,317.484,104.692,32.976,212.792
716.72,1.4157,26.072,312.864,106.255,33.962,206.609
737.8,1.39425,25.686,308.232,107.723,34.949,200.509
758.88,1.3728,25.3,303.6,109.096,35.934,194.504
779.96,1.35135,24.914,298.968,110.375,36.919,188.593
801.04,1.3299,24.529,294.348,111.558,37.9,182.79
822.12,1.30845,24.143,289.716,112.647,38.882,177.069
843.2,1.287,23.757,285.084,113.642,39.863,171.442
864.28,1.26555,23.371,280.452,114.541,40.842,165.911
885.36,1.2441,22.986,275.832,115.346,41.817,160.486
906.44,1.22265,22.6,271.2,116.057,42.794,155.143
927.52,1.2012,22.214,266.568,116.672,43.768,149.896
948.6,1.17975,21.829,261.948,117.193,44.739,144.755
969.68,1.1583,21.443,257.316,117.619,45.71,139.697
990.76,1.13685,21.057,252.684,117.951,46.679,134.733
1011.84,1.1154,20.671,248.052,118.187,47.646,129.865
1032.92,1.09395,20.286,243.432,118.329,48.609,125.103
1054,1.0725,19.9,238.8,118.377,49.572,120.423
1075.08,1.05105,19.514,234.168,118.329,50.532,115.839
1096.16,1.0296,19.129,229.548,118.187,51.487,111.361
1117.24,1.00815,18.743,224.916,117.951,52.442,106.965
1138.32,0.9867,18.357,220.284,117.619,53.394,102.665
1159.4,0.96525,17.971,215.652,117.193,54.344,98.459
1180.48,0.9438,17.586,211.032,116.672,55.286,94.36
1201.56,0.92235,17.2,206.4,116.057,56.229,90.343
1222.64,0.9009,16.814,201.768,115.346,57.168,86.422
1243.72,0.87945,16.429,197.148,114.541,58.099,82.607
1264.8,0.858,16.043,192.516,113.642,59.03,78.874
1285.88,0.83655,15.657,187.884,112.647,59.956,75.237
1306.96,0.8151,15.271,183.252,111.558,60.877,71.694
1328.04,0.79365,14.886,178.632,110.375,61.789,68.257
1349.12,0.7722,14.5,174,109.096,62.699,64.904
1370.2,0.75075,14.114,169.368,107.723,63.603,61.645
1391.28,0.7293,13.728,164.736,106.255,64.5,58.481
1412.36,0.70785,13.343,160.116,104.692,65.385,55.424
1433.44,0.6864,12.957,155.484,103.035,66.267,52.449
1454.52,0.66495,12.571,150.852,101.283,67.141,49.569
1475.6,0.6435,12.186,146.232,99.436,67.999,46.796
1496.68,0.62205,11.8,141.6,97.495,68.852,44.105
1517.76,0.6006,11.414,136.968,95.459,69.694,41.509
1538.84,0.57915,11.028,132.336,93.328,70.524,39.008
1559.92,0.5577,10.643,127.716,91.103,71.332,36.613
1581,0.53625,10.257,123.084,88.783,72.132,34.301
1602.08,0.5148,9.871,118.452,86.368,72.914,32.084
1623.16,0.49335,9.486,113.832,83.858,73.668,29.974
1644.24,0.4719,9.1,109.2,81.254,74.408,27.946
1665.32,0.45045,8.714,104.568,78.555,75.123,26.013
1686.4,0.429,8.328,99.936,75.761,75.81,24.175
1707.48,0.40755,7.943,95.316,72.873,76.454,22.443
1728.56,0.3861,7.557,90.684,69.89,77.07,20.794
1749.64,0.36465,7.171,86.052,66.812,77.641,19.24
1770.72,0.3432,6.786,81.432,63.639,78.15,17.793
1791.8,0.32175,6.4,76.8,60.372,78.609,16.428
1812.88,0.3003,6.014,72.168,57.01,78.996,15.158
1833.96,0.27885,5.628,67.536,53.554,79.297,13.982
1855.04,0.2574,5.243,62.916,50.002,79.474,12.914
1876.12,0.23595,4.857,58.284,46.356,79.535,11.928
1897.2,0.2145,4.471,53.652,42.616,79.43,11.036
