Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
2464.8,0.62502,17.944,215.328,161.326,74.921,54.002
2496.4,0.59661,17.151,205.812,155.967,75.781,49.845
2528,0.5682,16.358,196.296,150.42,76.629,45.876
2559.6,0.53979,15.564,186.768,144.686,77.468,42.082
2591.2,0.51138,14.771,177.252,138.763,78.286,38.489
2622.8,0.48297,13.977,167.724,132.652,79.089,35.072
2654.4,0.45456,13.184,158.208,126.353,79.865,31.855
2686,0.42615,12.391,148.692,119.866,80.614,28.826
2717.6,0.39774,11.597,139.164,113.191,81.336,25.973
2749.2,0.36933,10.804,129.648,106.328,82.013,23.32
2780.8,0.34092,10.011,120.132,99.278,82.641,20.854
2812.4,0.31251,9.217,110.604,92.039,83.215,18.565
2844,0.2841,8.424,101.088,84.612,83.701,16.476
2875.6,0.25569,7.63,91.56,76.996,84.093,14.564
2907.2,0.22728,6.837,82.044,69.193,84.336,12.851
2938.8,0.19887,6.044,72.528,61.202,84.384,11.326
2970.4,0.17046,5.25,63,53.023,84.163,9.977
3002,0.14205,4.457,53.484,44.656,83.494,8.828
3033.6,0.11364,3.664,43.968,36.101,82.107,7.867
3065.2,0.08523,2.87,34.44,27.358,79.437,7.082
3096.8,0.05682,2.077,24.924,18.427,73.933,6.497
3128.4,0.02841,1.283,15.396,9.307,60.451,6.089
3160,0,0.49,5.88,0,0,5.88
