Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.841,79.828,957.936,0,0,957.936
31.6,2.81259,79.035,948.42,9.307,0.981,939.113
63.2,2.78418,78.241,938.892,18.427,1.963,920.465
94.8,2.75577,77.448,929.376,27.358,2.944,902.018
126.4,2.72736,76.654,919.848,36.101,3.925,883.747
158,2.69895,75.861,910.332,44.656,4.905,865.676
189.6,2.67054,75.068,900.816,53.023,5.886,847.793
221.2,2.64213,74.274,891.288,61.202,6.867,830.086
252.8,2.61372,73.481,881.772,69.193,7.847,812.579
284.4,2.58531,72.688,872.256,76.996,8.827,795.26
316,2.5569,71.894,862.728,84.612,9.807,778.116
347.6,2.52849,71.101,853.212,92.039,10.787,761.173
379.2,2.50008,70.307,843.684,99.278,11.767,744.406
410.8,2.47167,69.514,834.168,106.328,12.747,727.84
442.4,2.44326,68.721,824.652,113.191,13.726,711.461
474,2.41485,67.927,815.124,119.866,14.705,695.258
505.6,2.38644,67.134,805.608,126.353,15.684,679.255
537.2,2.35803,66.341,796.092,132.652,16.663,663.44
568.8,2.32962,65.547,786.564,138.763,17.642,647.801
600.4,2.30121,64.754,777.048,144.686,18.62,632.362
632,2.2728,63.96,767.52,150.42,19.598,617.1
663.6,2.24439,63.167,758.004,155.967,20.576,602.037
695.2,2.21598,62.374,748.488,161.326,21.554,587.162
726.8,2.18757,61.58,738.96,166.497,22.531,572.463
758.4,2.15916,60.787,729.444,171.479,23.508,557.965
790,2.13075,59.994,719.928,176.274,24.485,543.654
821.6,2.10234,59.2,710.4,180.881,25.462,529.519
853.2,2.07393,58.407,700.884,185.299,26.438,515.585
884.8,2.04552,57.613,691.356,189.53,27.414,501.826
916.4,2.01711,56.82,681.84,193.572,28.39,488.268
948,1.9887,56.027,672.324,197.427,29.365,474.897
979.6,1.96029,55.233,662.796,201.093,30.34,461.703
1011.2,1.93188,54.44,653.28,204.572,31.315,448.708
1042.8,1.90347,53.646,643.752,207.862,32.289,435.89
1074.4,1.87506,52.853,634.236,210.965,33.263,423.271
1106,1.84665,52.06,624.72,213.879,34.236,410.841
1137.6,1.81824,51.266,615.192,216.605,35.209,398.587
1169.2,1.78983,50.473,605.676,219.144,36.182,386.532
1200.8,1.76142,49.68,596.16,221.494,37.153,374.666
1232.4,1.73301,48.886,586.632,223.656,38.125,362.976
1264,1.7046,48.093,577.116,225.631,39.096,351.485
1295.6,1.67619,47.299,567.588,227.417,40.067,340.171
1327.2,1.64778,46.506,558.072,229.015,41.037,329.057
1358.8,1.61937,45.713,548.556,230.425,42.006,318.131
1390.4,1.59096,44.919,539.028,231.648,42.975,307.38
1422,1.56255,44.126,529.512,232.682,43.943,296.83
1453.6,1.53414,43.333,519.996,233.528,44.91,286.468
1485.2,1.50573,42.539,510.468,234.186,45.877,276.282
1516.8,1.47732,41.746,500.952,234.656,46.842,266.296
1548.4,1.44891,40.952,491.424,234.938,47.808,256.486
1580,1.4205,40.159,481.908,235.032,48.771,246.876
1611.6,1.39209,39.366,472.392,234.938,49.734,237.454
1643.2,1.36368,38.572,462.864,234.656,50.697,228.208
1674.8,1.33527,37.779,453.348,234.186,51.657,219.162
1706.4,1.30686,36.985,443.82,233.528,52.618,210.292
1738,1.27845,36.192,434.304,232.682,53.576,201.622
1769.6,1.25004,35.399,424.788,231.648,54.533,193.14
1801.2,1.22163,34.605,415.26,230.425,55.489,184.835
1832.8,1.19322,33.812,405.744,229.015,56.443,176.729
1864.4,1.16481,33.019,396.228,227.417,57.395,168.811
1896,1.1364,32.225,386.7,225.631,58.348,161.069
1927.6,1.10799,31.432,377.184,223.656,59.296,153.528
1959.2,1.07958,30.638,367.656,221.494,60.245,146.162
1990.8,1.05117,29.845,358.14,219.144,61.189,138.996
2022.4,1.02276,29.052,348.624,216.605,62.131,132.019
2054,0.99435,28.258,339.096,213.879,63.073,125.217
2085.6,0.96594,27.465,329.58,210.965,64.01,118.615
2117.2,0.93753,26.672,320.064,207.862,64.944,112.202
2148.8,0.90912,25.878,310.536,204.572,65.877,105.964
2180.4,0.88071,25.085,301.02,201.093,66.804,99.927
2212,0.8523,24.291,291.492,197.427,67.73,94.065
2243.6,0.82389,23.498,281.976,193.572,68.648,88.404
2275.2,0.79548,22.705,272.46,189.53,69.563,82.93
2306.8,0.76707,21.911,262.932,185.299,70.474,77.633
2338.4,0.73866,21.118,253.416,180.881,71.377,72.535
2370,0.71025,20.325,243.9,176.274,72.273,67.626
2401.6,0.68184,19.531,234.372,171.479,73.165,62.893
2433.2,0.65343,18.738,224.856,166.497,74.046,58.359
