Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
1813.599,2.51745,120.419,1445.028,478.113,33.087,966.915
1865.416,2.47872,118.585,1423.02,484.208,34.027,938.812
1917.233,2.43999,116.751,1401.012,489.882,34.966,911.13
1969.05,2.40126,114.917,1379.004,495.136,35.905,883.868
2020.867,2.36253,113.083,1356.996,499.97,36.844,857.026
2072.684,2.3238,111.248,1334.976,504.383,37.782,830.593
2124.501,2.28507,109.414,1312.968,508.376,38.72,804.592
2176.318,2.24634,107.58,1290.96,511.949,39.656,779.011
2228.135,2.20761,105.746,1268.952,515.101,40.593,753.851
2279.952,2.16888,103.912,1246.944,517.833,41.528,729.111
2331.77,2.13015,102.078,1224.936,520.145,42.463,704.791
2383.587,2.09142,100.244,1202.928,522.037,43.397,680.891
2435.404,2.05269,98.409,1180.908,523.508,44.331,657.4
2487.221,2.01396,96.575,1158.9,524.558,45.263,634.342
2539.038,1.97523,94.741,1136.892,525.189,46.195,611.703
2590.855,1.9365,92.907,1114.884,525.399,47.126,589.485
2642.672,1.89777,91.073,1092.876,525.189,48.056,567.687
2694.489,1.85904,89.239,1070.868,524.558,48.984,546.31
2746.306,1.82031,87.405,1048.86,523.507,49.912,525.353
2798.123,1.78158,85.57,1026.84,522.036,50.839,504.804
2849.941,1.74285,83.736,1004.832,520.145,51.764,484.687
2901.758,1.70412,81.902,982.824,517.833,52.688,464.991
2953.575,1.66539,80.068,960.816,515.101,53.611,445.715
3005.392,1.62666,78.234,938.808,511.949,54.532,426.859
3057.209,1.58793,76.4,916.8,508.376,55.451,408.424
3109.026,1.5492,74.566,894.792,504.383,56.369,390.409
3160.843,1.51047,72.731,872.772,499.97,57.285,372.802
3212.66,1.47174,70.897,850.764,495.136,58.199,355.628
3264.477,1.43301,69.063,828.756,489.882,59.111,338.874
3316.294,1.39428,67.229,806.748,484.208,60.02,322.54
3368.112,1.35555,65.395,784.74,478.113,60.926,306.627
3419.929,1.31682,63.561,762.732,471.598,61.83,291.134
3471.746,1.27809,61.727,740.724,464.663,62.731,276.061
3523.563,1.23936,59.892,718.704,457.307,63.629,261.397
3575.38,1.20063,58.058,696.696,449.531,64.523,247.165
3627.197,1.1619,56.224,674.688,441.335,65.413,233.353
3679.014,1.12317,54.39,652.68,432.719,66.299,219.961
3730.831,1.08444,52.556,630.672,423.682,67.179,206.99
3782.648,1.04571,50.722,608.664,414.225,68.055,194.439
3834.465,1.00698,48.888,586.656,404.347,68.924,182.309
3886.283,0.96825,47.054,564.648,394.049,69.787,170.599
3938.1,0.92952,45.219,542.628,383.331,70.643,159.297
3989.917,0.89079,43.385,520.62,372.193,71.49,148.427
4041.734,0.85206,41.551,498.612,360.634,72.328,137.978
4093.551,0.81333,39.717,476.604,348.655,73.154,127.949
4145.368,0.7746,37.883,454.596,336.255,73.968,118.341
4197.185,0.73587,36.049,432.588,323.436,74.768,109.152
4249.002,0.69714,34.215,410.58,310.196,75.551,100.384
4300.819,0.65841,32.38,388.56,296.535,76.316,92.025
4352.636,0.61968,30.546,366.552,282.454,77.057,84.098
4404.454,0.58095,28.712,344.544,267.954,77.771,76.59
4456.271,0.54222,26.878,322.536,253.032,78.451,69.504
4508.088,0.50349,25.044,300.528,237.691,79.091,62.837
4559.905,0.46476,23.21,278.52,221.929,79.682,56.591
4611.722,0.42603,21.376,256.512,205.746,80.209,50.766
4663.539,0.3873,19.541,234.492,189.144,80.661,45.348
4715.356,0.34857,17.707,212.484,172.121,81.004,40.363
4767.173,0.30984,15.873,190.476,154.677,81.206,35.799
4818.99,0.27111,14.039,168.468,136.814,81.211,31.654
4870.807,0.23238,12.205,146.46,118.53,80.93,27.93
4922.625,0.19365,10.371,124.452,99.826,80.212,24.626
4974.442,0.15492,8.537,102.444,80.701,78.776,21.743
5026.259,0.11619,6.702,80.424,61.156,76.042,19.268
5078.076,0.07746,4.868,58.416,41.191,70.513,17.225
5129.893,0.03873,3.034,36.408,20.806,57.147,15.602
5181.71,0,1.2,14.4,0,0,14.4
