Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,3.873,184.614,2215.368,0,0,2215.368
51.817,3.83427,182.78,2193.36,20.806,0.949,2172.554
103.634,3.79554,180.946,2171.352,41.191,1.897,2130.161
155.451,3.75681,179.112,2149.344,61.156,2.845,2088.188
207.268,3.71808,177.277,2127.324,80.701,3.794,2046.623
259.086,3.67935,175.443,2105.316,99.826,4.742,2005.49
310.903,3.64062,173.609,2083.308,118.53,5.69,1964.778
362.72,3.60189,171.775,2061.3,136.814,6.637,1924.486
414.537,3.56316,169.941,2039.292,154.678,7.585,1884.614
466.354,3.52443,168.107,2017.284,172.121,8.532,1845.163
518.171,3.4857,166.273,1995.276,189.144,9.48,1806.132
569.988,3.44697,164.438,1973.256,205.746,10.427,1767.51
621.805,3.40824,162.604,1951.248,221.928,11.374,1729.32
673.622,3.36951,160.77,1929.24,237.69,12.32,1691.55
725.439,3.33078,158.936,1907.232,253.032,13.267,1654.2
777.257,3.29205,157.102,1885.224,267.954,14.213,1617.27
829.074,3.25332,155.268,1863.216,282.455,15.16,1580.761
880.891,3.21459,153.434,1841.208,296.535,16.105,1544.673
932.708,3.17586,151.599,1819.188,310.196,17.051,1508.992
984.525,3.13713,149.765,1797.18,323.436,17.997,1473.744
1036.342,3.0984,147.931,1775.172,336.255,18.942,1438.917
1088.159,3.05967,146.097,1753.164,348.655,19.887,1404.509
1139.976,3.02094,144.263,1731.156,360.634,20.832,1370.522
1191.793,2.98221,142.429,1709.148,372.193,21.777,1336.955
1243.61,2.94348,140.595,1687.14,383.331,22.721,1303.809
1295.428,2.90475,138.761,1665.132,394.049,23.665,1271.083
1347.245,2.86602,136.926,1643.112,404.347,24.609,1238.765
1399.062,2.82729,135.092,1621.104,414.225,25.552,1206.879
1450.879,2.78856,133.258,1599.096,423.682,26.495,1175.414
1502.696,2.74983,131.424,1577.088,432.719,27.438,1144.369
1554.513,2.7111,129.59,1555.08,441.335,28.38,1113.745
1606.33,2.67237,127.756,1533.072,449.531,29.322,1083.541
1658.147,2.63364,125.922,1511.064,457.307,30.264,1053.757
1709.964,2.59491,124.087,1489.044,464.663,31.205,1024.381
1761.781,2.55618,122.253,1467.036,471.598,32.146,995.438
