Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,4.688,257.154,3085.848,0,0,3085.848
63.797,4.64112,254.597,3055.164,31.006,1.015,3024.158
127.593,4.59424,252.041,3024.492,61.386,2.03,2963.106
191.39,4.54736,249.484,2993.808,91.14,3.044,2902.668
255.187,4.50048,246.928,2963.136,120.267,4.059,2842.869
318.983,4.4536,244.371,2932.452,148.767,5.073,2783.685
382.78,4.40672,241.815,2901.78,176.642,6.087,2725.138
446.576,4.35984,239.258,2871.096,203.889,7.101,2667.207
510.373,4.31296,236.702,2840.424,230.511,8.115,2609.913
574.17,4.26608,234.145,2809.74,256.506,9.129,2553.234
637.966,4.2192,231.589,2779.068,281.875,10.143,2497.193
701.763,4.17232,229.032,2748.384,306.617,11.156,2441.767
765.56,4.12544,226.476,2717.712,330.733,12.17,2386.979
829.356,4.07856,223.919,2687.028,354.223,13.183,2332.805
893.153,4.03168,221.362,2656.344,377.086,14.196,2279.258
956.949,3.9848,218.806,2625.672,399.323,15.208,2226.349
1020.746,3.93792,216.249,2594.988,420.933,16.221,2174.055
1084.543,3.89104,213.693,2564.316,441.917,17.233,2122.399
1148.339,3.84416,211.136,2533.632,462.275,18.246,2071.357
1212.136,3.79728,208.58,2502.96,482.006,19.257,2020.954
1275.933,3.7504,206.023,2472.276,501.111,20.269,1971.165
1339.729,3.70352,203.467,2441.604,519.589,21.281,1922.015
1403.526,3.65664,200.91,2410.92,537.442,22.292,1873.478
1467.322,3.60976,198.354,2380.248,554.667,23.303,1825.581
1531.119,3.56288,195.797,2349.564,571.267,24.314,1778.297
1594.916,3.516,193.241,2318.892,587.24,25.324,1731.652
1658.712,3.46912,190.684,2288.208,602.586,26.334,1685.622
1722.509,3.42224,188.127,2257.524,617.306,27.344,1640.218
1786.306,3.37536,185.571,2226.852,631.4,28.354,1595.452
1850.102,3.32848,183.014,2196.168,644.867,29.363,1551.301
1913.899,3.2816,180.458,2165.496,657.708,30.372,1507.788
1977.696,3.23472,177.901,2134.812,669.923,31.381,1464.889
2041.492,3.18784,175.345,2104.14,681.511,32.389,1422.629
2105.289,3.14096,172.788,2073.456,692.473,33.397,1380.983
2169.085,3.09408,170.232,2042.784,702.808,34.404,1339.976
2232.882,3.0472,167.675,2012.1,712.517,35.412,1299.583
2296.679,3.00032,165.119,1981.428,721.6,36.418,1259.828
2360.475,2.95344,162.562,1950.744,730.056,37.424,1220.688
2424.272,2.90656,160.005,1920.06,737.886,38.43,1182.174
2488.069,2.85968,157.449,1889.388,745.09,39.436,1144.298
2551.865,2.8128,154.892,1858.704,751.666,40.44,1107.038
2615.662,2.76592,152.336,1828.032,757.617,41.444,1070.415
2679.458,2.71904,149.779,1797.348,762.941,42.448,1034.407
2743.255,2.67216,147.223,1766.676,767.639,43.451,999.037
2807.052,2.62528,144.666,1735.992,771.711,44.454,964.281
2870.848,2.5784,142.11,1705.32,775.156,45.455,930.164
2934.645,2.53152,139.553,1674.636,777.975,46.456,896.661
2998.442,2.48464,136.997,1643.964,780.167,47.456,863.797
3062.238,2.43776,134.44,1613.28,781.733,48.456,831.547
3126.035,2.39088,131.884,1582.608,782.673,49.455,799.935
3189.832,2.344,129.327,1551.924,782.986,50.453,768.938
3253.628,2.29712,126.77,1521.24,782.673,51.45,738.567
3317.425,2.25024,124.214,1490.568,781.733,52.445,708.835
3381.221,2.20336,121.657,1459.884,780.167,53.44,679.717
3445.018,2.15648,119.101,1429.212,777.975,54.434,651.237
3508.815,2.1096,116.544,1398.528,775.156,55.427,623.372
3572.611,2.06272,113.988,1367.856,771.711,56.418,596.145
3636.408,2.01584,111.431,1337.172,767.639,57.408,569.533
3700.205,1.96896,108.875,1306.5,762.942,58.396,543.558
3764.001,1.92208,106.318,1275.816,757.617,59.383,518.199
3827.798,1.8752,103.762,1245.144,751.667,60.368,493.477
3891.594,1.82832,101.205,1214.46,745.089,61.351,469.371
3955.391,1.78144,98.649,1183.788,737.886,62.333,445.902
4019.188,1.73456,96.092,1153.104,730.056,63.312,423.048
4082.984,1.68768,93.535,1122.42,721.6,64.29,400.82
4146.781,1.6408,90.979,1091.748,712.517,65.264,379.231
4210.578,1.59392,88.422,1061.064,702.808,66.236,358.256
4274.374,1.54704,85.866,1030.392,692.473,67.205,337.919
4338.171,1.50016,83.309,999.708,681.511,68.171,318.197
4401.967,1.45328,80.753,969.036,669.923,69.133,299.113
4465.764,1.4064,78.196,938.352,657.708,70.092,280.644
4529.561,1.35952,75.64,907.68,644.867,71.046,262.813
4593.357,1.31264,73.083,876.996,631.4,71.996,245.596
4657.154,1.26576,70.527,846.324,617.306,72.94,229.018
4720.951,1.21888,67.97,815.64,602.586,73.879,213.054
4784.747,1.172,65.414,784.968,587.239,74.811,197.729
4848.544,1.12512,62.857,754.284,571.267,75.736,183.017
4912.341,1.07824,60.3,723.6,554.667,76.654,168.933
4976.137,1.03136,57.744,692.928,537.442,77.561,155.486
5039.934,0.98448,55.187,662.244,519.589,78.459,142.655
5103.73,0.9376,52.631,631.572,501.111,79.343,130.461
5167.527,0.89072,50.074,600.888,482.006,80.216,118.882
5231.324,0.84384,47.518,570.216,462.275,81.07,107.941
5295.12,0.79696,44.961,539.532,441.917,81.907,97.615
5358.917,0.75008,42.405,508.86,420.933,82.721,87.927
5422.714,0.7032,39.848,478.176,399.323,83.51,78.853
5486.51,0.65632,37.292,447.504,377.086,84.264,70.418
5550.307,0.60944,34.735,416.82,354.223,84.982,62.597
5614.103,0.56256,32.178,386.136,330.733,85.652,55.403
5677.9,0.51568,29.622,355.464,306.617,86.258,48.847
5741.697,0.4688,27.065,324.78,281.875,86.79,42.905
5805.493,0.42192,24.509,294.108,256.506,87.215,37.602
5869.29,0.37504,21.952,263.424,230.511,87.506,32.913
5933.087,0.32816,19.396,232.752,203.89,87.6,28.862
5996.883,0.28128,16.839,202.068,176.642,87.417,25.426
6060.68,0.2344,14.283,171.396,148.767,86.797,22.629
6124.476,0.18752,11.726,140.712,120.267,85.47,20.445
6188.273,0.14064,9.17,110.04,91.14,82.824,18.9
6252.07,0.09376,6.613,79.356,61.386,77.355,17.97
6315.866,0.04688,4.057,48.684,31.006,63.688,17.678
6379.663,0,1.5,18,0,0,18
