Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.961,82.751,993.012,0,0,993.012
99.698,0.95139,81.933,983.196,9.933,1.01,973.263
199.397,0.94178,81.116,973.392,19.665,2.02,953.727
299.095,0.93217,80.298,963.576,29.197,3.03,934.379
398.794,0.92256,79.481,953.772,38.528,4.04,915.244
498.492,0.91295,78.663,943.956,47.658,5.049,896.298
598.19,0.90334,77.846,934.152,56.587,6.058,877.565
697.889,0.89373,77.028,924.336,65.316,7.066,859.02
797.587,0.88412,76.211,914.532,73.844,8.075,840.688
897.286,0.87451,75.393,904.716,82.172,9.083,822.544
996.984,0.8649,74.576,894.912,90.299,10.09,804.613
1096.682,0.85529,73.758,885.096,98.225,11.098,786.871
1196.381,0.84568,72.941,875.292,105.951,12.105,769.341
1296.079,0.83607,72.123,865.476,113.476,13.111,752
1395.778,0.82646,71.306,855.672,120.8,14.118,734.872
1495.476,0.81685,70.488,845.856,127.924,15.124,717.932
1595.174,0.80724,69.671,836.052,134.846,16.129,701.206
1694.873,0.79763,68.853,826.236,141.569,17.134,684.667
1794.571,0.78802,68.036,816.432,148.09,18.139,668.342
1894.27,0.77841,67.218,806.616,154.411,19.143,652.205
1993.968,0.7688,66.401,796.812,160.531,20.147,636.281
2093.666,0.75919,65.583,786.996,166.451,21.15,620.545
2193.365,0.74958,64.766,777.192,172.17,22.153,605.022
2293.063,0.73997,63.948,767.376,177.688,23.155,589.688
2392.762,0.73036,63.131,757.572,183.006,24.157,574.566
2492.46,0.72075,62.313,747.756,188.123,25.158,559.633
2592.158,0.71114,61.496,737.952,193.039,26.159,544.913
2691.857,0.70153,60.678,728.136,197.755,27.159,530.381
2791.555,0.69192,59.861,718.332,202.27,28.158,516.062
2891.254,0.68231,59.043,708.516,206.584,29.157,501.932
2990.952,0.6727,58.226,698.712,210.698,30.155,488.014
3090.65,0.66309,57.408,688.896,214.61,31.153,474.286
3190.349,0.65348,56.591,679.092,218.323,32.149,460.769
3290.047,0.64387,55.773,669.276,221.834,33.145,447.442
3389.746,0.63426,54.956,659.472,225.145,34.14,434.327
3489.444,0.62465,54.138,649.656,228.256,35.135,421.4
3589.142,0.61504,53.321,639.852,231.165,36.128,408.687
3688.841,0.60543,52.503,630.036,233.874,37.121,396.162
3788.539,0.59582,51.686,620.232,236.383,38.112,383.849
3888.238,0.58621,50.868,610.416,238.69,39.103,371.726
3987.936,0.5766,50.051,600.612,240.797,40.092,359.815
4087.634,0.56699,49.233,590.796,242.703,41.081,348.093
4187.333,0.55738,48.416,580.992,244.409,42.068,336.583
4287.031,0.54777,47.598,571.176,245.914,43.054,325.262
4386.73,0.53816,46.781,561.372,247.218,44.038,314.154
4486.428,0.52855,45.963,551.556,248.322,45.022,303.234
4586.126,0.51894,45.146,541.752,249.225,46.004,292.527
4685.825,0.50933,44.328,531.936,249.927,46.984,282.009
4785.523,0.49972,43.511,522.132,250.429,47.963,271.703
4885.222,0.49011,42.693,512.316,250.73,48.94,261.586
4984.92,0.4805,41.876,502.512,250.83,49.915,251.682
5084.618,0.47089,41.058,492.696,250.73,50.889,241.966
5184.317,0.46128,40.24,482.88,250.429,51.862,232.451
5284.015,0.45167,39.423,473.076,249.927,52.83,223.149
5383.714,0.44206,38.605,463.26,249.225,53.798,214.035
5483.412,0.43245,37.788,453.456,248.322,54.762,205.134
5583.11,0.42284,36.97,443.64,247.218,55.725,196.422
5682.809,0.41323,36.153,433.836,245.914,56.684,187.922
5782.507,0.40362,35.335,424.02,244.409,57.641,179.611
5882.206,0.39401,34.518,414.216,242.704,58.594,171.512
5981.904,0.3844,33.7,404.4,240.797,59.544,163.603
6081.602,0.37479,32.883,394.596,238.69,60.49,155.906
6181.301,0.36518,32.065,384.78,236.383,61.433,148.397
6280.999,0.35557,31.248,374.976,233.874,62.37,141.102
6380.698,0.34596,30.43,365.16,231.165,63.305,133.995
6480.396,0.33635,29.613,355.356,228.256,64.233,127.1
6580.094,0.32674,28.795,345.54,225.145,65.157,120.395
6679.793,0.31713,27.978,335.736,221.834,66.074,113.902
6779.491,0.30752,27.16,325.92,218.323,66.987,107.597
6879.19,0.29791,26.343,316.116,214.611,67.89,101.505
6978.888,0.2883,25.525,306.3,210.698,68.788,95.602
7078.586,0.27869,24.708,296.496,206.584,69.675,89.912
7178.285,0.26908,23.89,286.68,202.27,70.556,84.41
7277.983,0.25947,23.073,276.876,197.755,71.424,79.121
7377.682,0.24986,22.255,267.06,193.039,72.283,74.021
7477.38,0.24025,21.438,257.256,188.123,73.127,69.133
7577.078,0.23064,20.62,247.44,183.006,73.96,64.434
7676.777,0.22103,19.803,237.636,177.688,74.773,59.948
7776.475,0.21142,18.985,227.82,172.17,75.573,55.65
7876.174,0.20181,18.168,218.016,166.451,76.348,51.565
7975.872,0.1922,17.35,208.2,160.531,77.104,47.669
8075.57,0.18259,16.533,198.396,154.411,77.83,43.985
8175.269,0.17298,15.715,188.58,148.09,78.529,40.49
8274.967,0.16337,14.898,178.776,141.569,79.188,37.207
8374.666,0.15376,14.08,168.96,134.846,79.809,34.114
8474.364,0.14415,13.263,159.156,127.924,80.376,31.232
8574.062,0.13454,12.445,149.34,120.8,80.889,28.54
8673.761,0.12493,11.628,139.536,113.476,81.324,26.06
8773.459,0.11532,10.81,129.72,105.951,81.677,23.769
8873.158,0.10571,9.993,119.916,98.225,81.912,21.691
8972.856,0.0961,9.175,110.1,90.299,82.015,19.801
9072.554,0.08649,8.358,100.296,82.172,81.929,18.124
9172.253,0.07688,7.54,90.48,73.844,81.614,16.636
9271.951,0.06727,6.723,80.676,65.316,80.961,15.36
9371.65,0.05766,5.905,70.86,56.587,79.857,14.273
9471.348,0.04805,5.088,61.056,47.658,78.056,13.398
9571.046,0.03844,4.27,51.24,38.528,75.191,12.712
9670.745,0.02883,3.453,41.436,29.197,70.463,12.239
9770.443,0.01922,2.635,31.62,19.665,62.192,11.955
9870.142,0.00961,1.818,21.816,9.933,45.531,11.883
