Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,1.082,111.278,1335.336,0,0,1335.336
117.083,1.07118,110.176,1322.112,13.134,0.993,1308.978
234.165,1.06036,109.074,1308.888,26.002,1.987,1282.886
351.248,1.04954,107.973,1295.676,38.605,2.98,1257.071
468.33,1.03872,106.871,1282.452,50.942,3.972,1231.51
585.413,1.0279,105.769,1269.228,63.015,4.965,1206.213
702.495,1.01708,104.667,1256.004,74.822,5.957,1181.182
819.578,1.00626,103.566,1242.792,86.363,6.949,1156.429
936.66,0.99544,102.464,1229.568,97.64,7.941,1131.928
1053.743,0.98462,101.362,1216.344,108.651,8.933,1107.693
1170.826,0.9738,100.26,1203.12,119.396,9.924,1083.724
1287.908,0.96298,99.158,1189.896,129.877,10.915,1060.019
1404.991,0.95216,98.057,1176.684,140.092,11.906,1036.592
1522.073,0.94134,96.955,1163.46,150.041,12.896,1013.419
1639.156,0.93052,95.853,1150.236,159.726,13.886,990.51
1756.238,0.9197,94.751,1137.012,169.145,14.876,967.867
1873.321,0.90888,93.65,1123.8,178.298,15.866,945.502
1990.404,0.89806,92.548,1110.576,187.187,16.855,923.389
2107.486,0.88724,91.446,1097.352,195.81,17.844,901.542
2224.569,0.87642,90.344,1084.128,204.168,18.832,879.96
2341.651,0.8656,89.242,1070.904,212.26,19.821,858.644
2458.734,0.85478,88.141,1057.692,220.087,20.808,837.605
2575.816,0.84396,87.039,1044.468,227.649,21.796,816.819
2692.899,0.83314,85.937,1031.244,234.945,22.783,796.299
2809.981,0.82232,84.835,1018.02,241.976,23.769,776.044
2927.064,0.8115,83.734,1004.808,248.742,24.755,756.066
3044.147,0.80068,82.632,991.584,255.243,25.741,736.341
3161.229,0.78986,81.53,978.36,261.478,26.726,716.882
3278.312,0.77904,80.428,965.136,267.448,27.711,697.688
3395.394,0.76822,79.326,951.912,273.152,28.695,678.76
3512.477,0.7574,78.225,938.7,278.591,29.678,660.109
3629.559,0.74658,77.123,925.476,283.765,30.662,641.711
3746.642,0.73576,76.021,912.252,288.674,31.644,623.578
3863.724,0.72494,74.919,899.028,293.317,32.626,605.711
3980.807,0.71412,73.817,885.804,297.695,33.607,588.109
4097.89,0.7033,72.716,872.592,301.807,34.587,570.785
4214.972,0.69248,71.614,859.368,305.654,35.567,553.714
4332.055,0.68166,70.512,846.144,309.236,36.546,536.908
4449.137,0.67084,69.41,832.92,312.553,37.525,520.367
4566.22,0.66002,68.309,819.708,315.604,38.502,504.104
4683.302,0.6492,67.207,806.484,318.39,39.479,488.094
4800.385,0.63838,66.105,793.26,320.911,40.455,472.349
4917.468,0.62756,65.003,780.036,323.166,41.43,456.87
5034.55,0.61674,63.901,766.812,325.156,42.404,441.656
5151.633,0.60592,62.8,753.6,326.88,43.376,426.72
5268.715,0.5951,61.698,740.376,328.34,44.348,412.036
5385.798,0.58428,60.596,727.152,329.534,45.318,397.618
5502.88,0.57346,59.494,713.928,330.462,46.288,383.466
5619.963,0.56264,58.393,700.716,331.126,47.255,369.59
5737.045,0.55182,57.291,687.492,331.523,48.222,355.969
5854.128,0.541,56.189,674.268,331.656,49.188,342.612
5971.211,0.53018,55.087,661.044,331.524,50.152,329.52
6088.293,0.51936,53.985,647.82,331.126,51.114,316.694
6205.376,0.50854,52.884,634.608,330.462,52.073,304.146
6322.458,0.49772,51.782,621.384,329.534,53.032,291.85
6439.541,0.4869,50.68,608.16,328.34,53.989,279.82
6556.623,0.47608,49.578,594.936,326.88,54.944,268.056
6673.706,0.46526,48.477,581.724,325.156,55.895,256.568
6790.788,0.45444,47.375,568.5,323.166,56.845,245.334
6907.871,0.44362,46.273,555.276,320.911,57.793,234.365
7024.954,0.4328,45.171,542.052,318.39,58.738,223.662
7142.036,0.42198,44.069,528.828,315.604,59.68,213.224
7259.119,0.41116,42.968,515.616,312.553,60.617,203.063
7376.201,0.40034,41.866,502.392,309.236,61.553,193.156
7493.284,0.38952,40.764,489.168,305.654,62.484,183.514
7610.366,0.3787,39.662,475.944,301.807,63.412,174.137
7727.449,0.36788,38.561,462.732,297.695,64.334,165.037
7844.532,0.35706,37.459,449.508,293.317,65.253,156.191
7961.614,0.34624,36.357,436.284,288.674,66.167,147.61
8078.697,0.33542,35.255,423.06,283.765,67.074,139.295
8195.779,0.3246,34.153,409.836,278.591,67.976,131.245
8312.862,0.31378,33.052,396.624,273.152,68.869,123.472
8429.944,0.30296,31.95,383.4,267.448,69.757,115.952
8547.027,0.29214,30.848,370.176,261.478,70.636,108.698
8664.109,0.28132,29.746,356.952,255.243,71.506,101.709
8781.192,0.2705,28.645,343.74,248.742,72.363,94.998
