Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
8898.275,0.25968,27.543,330.516,241.976,73.212,88.54
9015.357,0.24886,26.441,317.292,234.945,74.047,82.347
9132.44,0.23804,25.339,304.068,227.649,74.868,76.419
9249.522,0.22722,24.237,290.844,220.087,75.672,70.757
9366.605,0.2164,23.136,277.632,212.26,76.454,65.372
9483.687,0.20558,22.034,264.408,204.168,77.217,60.24
9600.77,0.19476,20.932,251.184,195.81,77.955,55.374
9717.852,0.18394,19.83,237.96,187.187,78.663,50.773
9834.935,0.17312,18.728,224.736,178.298,79.337,46.438
9952.018,0.1623,17.627,211.524,169.145,79.965,42.379
10069.1,0.15148,16.525,198.3,159.726,80.548,38.574
10186.183,0.14066,15.423,185.076,150.041,81.07,35.035
10303.265,0.12984,14.321,171.852,140.092,81.519,31.76
10420.348,0.11902,13.22,158.64,129.877,81.869,28.763
10537.43,0.1082,12.118,145.416,119.396,82.107,26.02
10654.513,0.09738,11.016,132.192,108.651,82.192,23.541
10771.596,0.08656,9.914,118.968,97.64,82.072,21.328
10888.678,0.07574,8.812,105.744,86.363,81.672,19.381
11005.761,0.06492,7.711,92.532,74.822,80.861,17.71
11122.843,0.0541,6.609,79.308,63.015,79.456,16.293
11239.926,0.04328,5.507,66.084,50.942,77.087,15.142
11357.008,0.03246,4.405,52.86,38.605,73.033,14.255
11474.091,0.02164,3.304,39.648,26.002,65.582,13.646
11591.173,0.01082,2.202,26.424,13.134,49.705,13.29
11708.256,0,1.1,13.2,0,0,13.2
