Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
5057.398,0.0646,3.432,41.184,34.213,83.074,6.971
5113.591,0.05814,3.129,37.548,31.134,82.918,6.414
5169.785,0.05168,2.826,33.912,27.978,82.502,5.934
5225.978,0.04522,2.523,30.276,24.747,81.738,5.529
5282.171,0.03876,2.219,26.628,21.44,80.517,5.188
5338.364,0.0323,1.916,22.992,18.057,78.536,4.935
5394.558,0.02584,1.613,19.356,14.597,75.413,4.759
5450.751,0.01938,1.31,15.72,11.062,70.369,4.658
5506.944,0.01292,1.006,12.072,7.451,61.721,4.621
5563.138,0.00646,0.703,8.436,3.763,44.606,4.673
5619.331,0,0.4,4.8,0,0,4.8
