Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.646,30.722,368.664,0,0,368.664
56.193,0.63954,30.419,365.028,3.763,1.031,361.265
112.387,0.63308,30.116,361.392,7.451,2.062,353.941
168.58,0.62662,29.812,357.744,11.062,3.092,346.682
224.773,0.62016,29.509,354.108,14.597,4.122,339.511
280.967,0.6137,29.206,350.472,18.057,5.152,332.415
337.16,0.60724,28.903,346.836,21.44,6.182,325.396
393.353,0.60078,28.599,343.188,24.747,7.211,318.441
449.546,0.59432,28.296,339.552,27.978,8.24,311.574
505.74,0.58786,27.993,335.916,31.134,9.268,304.782
561.933,0.5814,27.69,332.28,34.213,10.296,298.067
618.126,0.57494,27.387,328.644,37.216,11.324,291.428
674.32,0.56848,27.083,324.996,40.143,12.352,284.853
730.513,0.56202,26.78,321.36,42.994,13.379,278.366
786.706,0.55556,26.477,317.724,45.769,14.405,271.955
842.9,0.5491,26.174,314.088,48.468,15.431,265.62
899.093,0.54264,25.87,310.44,51.091,16.458,259.349
955.286,0.53618,25.567,306.804,53.638,17.483,253.166
1011.48,0.52972,25.264,303.168,56.109,18.508,247.059
1067.673,0.52326,24.961,299.532,58.504,19.532,241.028
1123.866,0.5168,24.658,295.896,60.823,20.556,235.073
1180.06,0.51034,24.354,292.248,63.066,21.58,229.182
1236.253,0.50388,24.051,288.612,65.232,22.602,223.38
1292.446,0.49742,23.748,284.976,67.323,23.624,217.653
1348.639,0.49096,23.445,281.34,69.338,24.646,212.002
1404.833,0.4845,23.142,277.704,71.277,25.667,206.427
1461.026,0.47804,22.838,274.056,73.139,26.688,200.917
1517.219,0.47158,22.535,270.42,74.926,27.707,195.494
1573.413,0.46512,22.232,266.784,76.637,28.726,190.147
1629.606,0.45866,21.929,263.148,78.271,29.744,184.877
1685.799,0.4522,21.625,259.5,79.83,30.763,179.67
1741.993,0.44574,21.322,255.864,81.312,31.779,174.552
1798.186,0.43928,21.019,252.228,82.719,32.795,169.509
1854.379,0.43282,20.716,248.592,84.049,33.81,164.543
1910.573,0.42636,20.413,244.956,85.304,34.824,159.652
1966.766,0.4199,20.109,241.308,86.482,35.839,154.826
2022.959,0.41344,19.806,237.672,87.585,36.851,150.087
2079.152,0.40698,19.503,234.036,88.611,37.862,145.425
2135.346,0.40052,19.2,230.4,89.561,38.872,140.839
2191.539,0.39406,18.896,226.752,90.436,39.883,136.316
2247.732,0.3876,18.593,223.116,91.234,40.891,131.882
2303.926,0.38114,18.29,219.48,91.956,41.897,127.524
2360.119,0.37468,17.987,215.844,92.603,42.903,123.241
2416.312,0.36822,17.684,212.208,93.173,43.906,119.035
2472.506,0.36176,17.38,208.56,93.667,44.911,114.893
2528.699,0.3553,17.077,204.924,94.085,45.912,110.839
2584.892,0.34884,16.774,201.288,94.427,46.911,106.861
2641.086,0.34238,16.471,197.652,94.693,47.909,102.959
2697.279,0.33592,16.167,194.004,94.883,48.908,99.121
2753.472,0.32946,15.864,190.368,94.997,49.902,95.371
2809.666,0.323,15.561,186.732,95.035,50.894,91.697
2865.859,0.31654,15.258,183.096,94.997,51.884,88.099
2922.052,0.31008,14.955,179.46,94.883,52.871,84.577
2978.245,0.30362,14.651,175.812,94.693,53.86,81.119
3034.439,0.29716,14.348,172.176,94.427,54.843,77.749
3090.632,0.2907,14.045,168.54,94.085,55.824,74.455
3146.825,0.28424,13.742,164.904,93.667,56.801,71.237
3203.019,0.27778,13.438,161.256,93.173,57.78,68.083
3259.212,0.27132,13.135,157.62,92.603,58.751,65.017
3315.405,0.26486,12.832,153.984,91.956,59.718,62.028
3371.599,0.2584,12.529,150.348,91.234,60.682,59.114
3427.792,0.25194,12.226,146.712,90.436,61.642,56.276
3483.985,0.24548,11.922,143.064,89.561,62.602,53.503
3540.179,0.23902,11.619,139.428,88.611,63.553,50.817
3596.372,0.23256,11.316,135.792,87.585,64.499,48.207
3652.565,0.2261,11.013,132.156,86.482,65.439,45.674
3708.758,0.21964,10.709,128.508,85.304,66.38,43.204
3764.952,0.21318,10.406,124.872,84.049,67.308,40.823
3821.145,0.20672,10.103,121.236,82.719,68.23,38.517
3877.338,0.20026,9.8,117.6,81.312,69.143,36.288
3933.532,0.1938,9.497,113.964,79.83,70.048,34.134
3989.725,0.18734,9.193,110.316,78.271,70.952,32.045
4045.918,0.18088,8.89,106.68,76.637,71.838,30.043
4102.112,0.17442,8.587,103.044,74.926,72.713,28.118
4158.305,0.16796,8.284,99.408,73.139,73.575,26.269
4214.498,0.1615,7.981,95.772,71.277,74.424,24.495
4270.692,0.15504,7.677,92.124,69.338,75.266,22.786
4326.885,0.14858,7.374,88.488,67.323,76.082,21.165
4383.078,0.14212,7.071,84.852,65.232,76.877,19.62
4439.271,0.13566,6.768,81.216,63.066,77.652,18.15
4495.465,0.1292,6.464,77.568,60.823,78.412,16.745
4551.658,0.12274,6.161,73.932,58.504,79.132,15.428
4607.851,0.11628,5.858,70.296,56.109,79.818,14.187
4664.045,0.10982,5.555,66.66,53.638,80.465,13.022
4720.238,0.10336,5.252,63.024,51.091,81.066,11.933
4776.431,0.0969,4.948,59.376,48.468,81.629,10.908
4832.625,0.09044,4.645,55.74,45.769,82.112,9.971
4888.818,0.08398,4.342,52.104,42.994,82.516,9.11
4945.011,0.07752,4.039,48.468,40.143,82.824,8.325
5001.205,0.07106,3.735,44.82,37.216,83.034,7.604
