Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.294,53.626,643.512,0,0,643.512
26.696,2.27106,53.098,637.176,6.349,0.996,630.827
53.392,2.24812,52.57,630.84,12.57,1.993,618.27
80.087,2.22518,52.042,624.504,18.662,2.988,605.842
106.783,2.20224,51.514,618.168,24.626,3.984,593.542
133.479,2.1793,50.986,611.832,30.462,4.979,581.37
160.175,2.15636,50.458,605.496,36.17,5.974,569.326
186.871,2.13342,49.93,599.16,41.749,6.968,557.411
213.567,2.11048,49.402,592.824,47.2,7.962,545.624
240.262,2.08754,48.873,586.476,52.523,8.956,533.953
266.958,2.0646,48.345,580.14,57.717,9.949,522.423
293.654,2.04166,47.817,573.804,62.784,10.942,511.02
320.35,2.01872,47.289,567.468,67.722,11.934,499.746
347.046,1.99578,46.761,561.132,72.532,12.926,488.6
373.741,1.97284,46.233,554.796,77.213,13.917,477.583
400.437,1.9499,45.705,548.46,81.766,14.908,466.694
427.133,1.92696,45.177,542.124,86.192,15.899,455.932
453.829,1.90402,44.649,535.788,90.488,16.889,445.3
480.525,1.88108,44.121,529.452,94.657,17.878,434.795
507.221,1.85814,43.593,523.116,98.697,18.867,424.419
533.916,1.8352,43.065,516.78,102.609,19.855,414.171
560.612,1.81226,42.537,510.444,106.393,20.843,404.051
587.308,1.78932,42.009,504.108,110.048,21.83,394.06
614.004,1.76638,41.481,497.772,113.575,22.817,384.197
640.7,1.74344,40.953,491.436,116.974,23.802,374.462
667.396,1.7205,40.425,485.1,120.245,24.788,364.855
694.091,1.69756,39.896,478.752,123.387,25.773,355.365
720.787,1.67462,39.368,472.416,126.401,26.756,346.015
747.483,1.65168,38.84,466.08,129.287,27.739,336.793
774.179,1.62874,38.312,459.744,132.045,28.721,327.699
800.875,1.6058,37.784,453.408,134.674,29.703,318.734
827.57,1.58286,37.256,447.072,137.175,30.683,309.897
854.266,1.55992,36.728,440.736,139.548,31.662,301.188
880.962,1.53698,36.2,434.4,141.793,32.641,292.607
907.658,1.51404,35.672,428.064,143.909,33.619,284.155
934.354,1.4911,35.144,421.728,145.897,34.595,275.831
961.05,1.46816,34.616,415.392,147.757,35.57,267.635
987.745,1.44522,34.088,409.056,149.488,36.545,259.568
1014.441,1.42228,33.56,402.72,151.092,37.518,251.628
1041.137,1.39934,33.032,396.384,152.567,38.49,243.817
1067.833,1.3764,32.504,390.048,153.913,39.46,236.135
1094.529,1.35346,31.976,383.712,155.132,40.429,228.58
1121.224,1.33052,31.447,377.364,156.222,41.398,221.142
1147.92,1.30758,30.919,371.028,157.184,42.364,213.844
1174.616,1.28464,30.391,364.692,158.018,43.329,206.674
1201.312,1.2617,29.863,358.356,158.723,44.292,199.633
1228.008,1.23876,29.335,352.02,159.3,45.253,192.72
1254.704,1.21582,28.807,345.684,159.749,46.212,185.935
1281.399,1.19288,28.279,339.348,160.07,47.17,179.278
1308.095,1.16994,27.751,333.012,160.262,48.125,172.75
1334.791,1.147,27.223,326.676,160.326,49.078,166.35
1361.487,1.12406,26.695,320.34,160.262,50.029,160.078
1388.183,1.10112,26.167,314.004,160.07,50.977,153.934
1414.878,1.07818,25.639,307.668,159.749,51.923,147.919
1441.574,1.05524,25.111,301.332,159.3,52.865,142.032
1468.27,1.0323,24.583,294.996,158.723,53.805,136.273
1494.966,1.00936,24.055,288.66,158.018,54.742,130.642
1521.662,0.98642,23.527,282.324,157.184,55.675,125.14
1548.358,0.96348,22.999,275.988,156.222,56.605,119.766
1575.053,0.94054,22.47,269.64,155.132,57.533,114.508
1601.749,0.9176,21.942,263.304,153.913,58.454,109.391
1628.445,0.89466,21.414,256.968,152.567,59.372,104.401
1655.141,0.87172,20.886,250.632,151.092,60.284,99.54
1681.837,0.84878,20.358,244.296,149.488,61.191,94.808
1708.532,0.82584,19.83,237.96,147.757,62.093,90.203
