Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
1735.228,0.8029,19.302,231.624,145.897,62.989,85.727
1761.924,0.77996,18.774,225.288,143.909,63.878,81.379
1788.62,0.75702,18.246,218.952,141.793,64.76,77.159
1815.316,0.73408,17.718,212.616,139.548,65.634,73.068
1842.012,0.71114,17.19,206.28,137.175,66.499,69.105
1868.707,0.6882,16.662,199.944,134.674,67.356,65.27
1895.403,0.66526,16.134,193.608,132.045,68.202,61.563
1922.099,0.64232,15.606,187.272,129.287,69.037,57.985
1948.795,0.61938,15.078,180.936,126.401,69.86,54.535
1975.491,0.59644,14.55,174.6,123.387,70.668,51.213
2002.187,0.5735,14.022,168.264,120.245,71.462,48.019
2028.882,0.55056,13.493,161.916,116.974,72.244,44.942
2055.578,0.52762,12.965,155.58,113.575,73.001,42.005
2082.274,0.50468,12.437,149.244,110.048,73.737,39.196
2108.97,0.48174,11.909,142.908,106.393,74.449,36.515
2135.666,0.4588,11.381,136.572,102.609,75.132,33.963
2162.361,0.43586,10.853,130.236,98.697,75.783,31.539
2189.057,0.41292,10.325,123.9,94.657,76.398,29.243
2215.753,0.38998,9.797,117.564,90.488,76.969,27.076
2242.449,0.36704,9.269,111.228,86.192,77.491,25.036
2269.145,0.3441,8.741,104.892,81.767,77.954,23.125
2295.841,0.32116,8.213,98.556,77.213,78.344,21.343
2322.536,0.29822,7.685,92.22,72.532,78.651,19.688
2349.232,0.27528,7.157,85.884,67.722,78.853,18.162
2375.928,0.25234,6.629,79.548,62.784,78.926,16.764
2402.624,0.2294,6.101,73.212,57.718,78.837,15.494
2429.32,0.20646,5.573,66.876,52.523,78.538,14.353
2456.015,0.18352,5.044,60.528,47.2,77.98,13.328
2482.711,0.16058,4.516,54.192,41.749,77.039,12.443
2509.407,0.13764,3.988,47.856,36.17,75.581,11.686
2536.103,0.1147,3.46,41.52,30.462,73.367,11.058
2562.799,0.09176,2.932,35.184,24.626,69.992,10.558
2589.495,0.06882,2.404,28.848,18.662,64.691,10.186
2616.19,0.04588,1.876,22.512,12.57,55.837,9.942
2642.886,0.02294,1.348,16.176,6.349,39.25,9.827
2669.582,0,0.82,9.84,0,0,9.84
