Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.701,91.725,1100.7,0,0,1100.7
37.393,2.67399,90.819,1089.828,10.471,0.961,1079.357
74.786,2.64698,89.913,1078.956,20.73,1.921,1058.226
112.178,2.61997,89.007,1068.084,30.777,2.882,1037.307
149.571,2.59296,88.101,1057.212,40.614,3.842,1016.598
186.964,2.56595,87.195,1046.34,50.238,4.801,996.102
224.357,2.53894,86.289,1035.468,59.651,5.761,975.817
261.75,2.51193,85.383,1024.596,68.853,6.72,955.743
299.143,2.48492,84.477,1013.724,77.843,7.679,935.881
336.535,2.45791,83.571,1002.852,86.621,8.637,916.231
373.928,2.4309,82.665,991.98,95.188,9.596,896.792
411.321,2.40389,81.758,981.096,103.544,10.554,877.552
448.714,2.37688,80.852,970.224,111.688,11.512,858.536
486.107,2.34987,79.946,959.352,119.62,12.469,839.732
523.5,2.32286,79.04,948.48,127.341,13.426,821.139
560.892,2.29585,78.134,937.608,134.85,14.382,802.758
598.285,2.26884,77.228,926.736,142.148,15.339,784.588
635.678,2.24183,76.322,915.864,149.234,16.294,766.63
673.071,2.21482,75.416,904.992,156.109,17.25,748.883
710.464,2.18781,74.51,894.12,162.772,18.205,731.348
747.857,2.1608,73.604,883.248,169.224,19.159,714.024
785.249,2.13379,72.698,872.376,175.464,20.113,696.912
822.642,2.10678,71.792,861.504,181.493,21.067,680.011
860.035,2.07977,70.886,850.632,187.31,22.02,663.322
897.428,2.05276,69.98,839.76,192.915,22.973,646.845
934.821,2.02575,69.074,828.888,198.309,23.925,630.579
972.214,1.99874,68.168,818.016,203.492,24.876,614.524
1009.606,1.97173,67.262,807.144,208.463,25.827,598.681
1046.999,1.94472,66.356,796.272,213.222,26.778,583.05
1084.392,1.91771,65.45,785.4,217.77,27.727,567.63
1121.785,1.8907,64.544,774.528,222.106,28.676,552.422
1159.178,1.86369,63.637,763.644,226.231,29.625,537.413
1196.571,1.83668,62.731,752.772,230.144,30.573,522.628
1233.963,1.80967,61.825,741.9,233.846,31.52,508.054
1271.356,1.78266,60.919,731.028,237.336,32.466,493.692
1308.749,1.75565,60.013,720.156,240.615,33.412,479.541
1346.142,1.72864,59.107,709.284,243.682,34.356,465.602
1383.535,1.70163,58.201,698.412,246.538,35.3,451.874
1420.928,1.67462,57.295,687.54,249.182,36.243,438.358
1458.32,1.64761,56.389,676.668,251.615,37.184,425.053
1495.713,1.6206,55.483,665.796,253.836,38.125,411.96
1533.106,1.59359,54.577,654.924,255.845,39.065,399.079
1570.499,1.56658,53.671,644.052,257.643,40.003,386.409
1607.892,1.53957,52.765,633.18,259.23,40.941,373.95
1645.285,1.51256,51.859,622.308,260.605,41.877,361.703
1682.677,1.48555,50.953,611.436,261.768,42.812,349.668
1720.07,1.45854,50.047,600.564,262.72,43.746,337.844
1757.463,1.43153,49.141,589.692,263.46,44.678,326.232
1794.856,1.40452,48.235,578.82,263.989,45.608,314.831
1832.249,1.37751,47.329,567.948,264.307,46.537,303.641
1869.642,1.3505,46.423,557.076,264.412,47.464,292.664
1907.034,1.32349,45.516,546.192,264.306,48.391,281.886
1944.427,1.29648,44.61,535.32,263.989,49.314,271.331
1981.82,1.26947,43.704,524.448,263.46,50.236,260.988
2019.213,1.24246,42.798,513.576,262.72,51.155,250.856
2056.606,1.21545,41.892,502.704,261.768,52.072,240.936
2093.998,1.18844,40.986,491.832,260.605,52.987,231.227
2131.391,1.16143,40.08,480.96,259.23,53.898,221.73
2168.784,1.13442,39.174,470.088,257.643,54.807,212.445
2206.177,1.10741,38.268,459.216,255.845,55.713,203.371
2243.57,1.0804,37.362,448.344,253.836,56.616,194.508
2280.963,1.05339,36.456,437.472,251.615,57.516,185.857
2318.355,1.02638,35.55,426.6,249.182,58.411,177.418
2355.748,0.99937,34.644,415.728,246.538,59.303,169.19
2393.141,0.97236,33.738,404.856,243.682,60.19,161.174
2430.534,0.94535,32.832,393.984,240.615,61.072,153.369
2467.927,0.91834,31.926,383.112,237.336,61.95,145.776
2505.32,0.89133,31.02,372.24,233.846,62.821,138.394
2542.712,0.86432,30.114,361.368,230.144,63.687,131.224
2580.105,0.83731,29.208,350.496,226.231,64.546,124.265
2617.498,0.8103,28.302,339.624,222.106,65.398,117.518
2654.891,0.78329,27.395,328.74,217.77,66.244,110.97
2692.284,0.75628,26.489,317.868,213.222,67.079,104.646
2729.677,0.72927,25.583,306.996,208.463,67.904,98.533
2767.069,0.70226,24.677,296.124,203.492,68.719,92.632
2804.462,0.67525,23.771,285.252,198.309,69.521,86.943
2841.855,0.64824,22.865,274.38,192.915,70.309,81.465
2879.248,0.62123,21.959,263.508,187.31,71.083,76.198
2916.641,0.59422,21.053,252.636,181.493,71.84,71.143
2954.034,0.56721,20.147,241.764,175.464,72.577,66.3
2991.426,0.5402,19.241,230.892,169.224,73.291,61.668
3028.819,0.51319,18.335,220.02,162.772,73.981,57.248
3066.212,0.48618,17.429,209.148,156.109,74.64,53.039
3103.605,0.45917,16.523,198.276,149.234,75.266,49.042
3140.998,0.43216,15.617,187.404,142.148,75.851,45.256
3178.391,0.40515,14.711,176.532,134.85,76.388,41.682
3215.783,0.37814,13.805,165.66,127.341,76.869,38.319
3253.176,0.35113,12.899,154.788,119.62,77.28,35.168
3290.569,0.32412,11.993,143.916,111.688,77.606,32.228
3327.962,0.29711,11.087,133.044,103.544,77.827,29.5
3365.355,0.2701,10.181,122.172,95.188,77.913,26.984
3402.748,0.24309,9.274,111.288,86.621,77.835,24.667
3440.14,0.21608,8.368,100.416,77.843,77.521,22.573
3477.533,0.18907,7.462,89.544,68.853,76.893,20.691
3514.926,0.16206,6.556,78.672,59.651,75.822,19.021
3552.319,0.13505,5.65,67.8,50.238,74.097,17.562
3589.712,0.10804,4.744,56.928,40.614,71.343,16.314
3627.105,0.08103,3.838,46.056,30.778,66.827,15.278
3664.497,0.05402,2.932,35.184,20.73,58.919,14.454
3701.89,0.02701,2.026,24.312,10.471,43.069,13.841
3739.283,0,1.12,13.44,0,0,13.44
