Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,3.018,139.456,1673.472,0,0,1673.472
49.388,2.98782,138.076,1656.912,15.453,0.933,1641.459
98.775,2.95764,136.696,1640.352,30.593,1.865,1609.759
148.163,2.92746,135.316,1623.792,45.421,2.797,1578.371
197.55,2.89728,133.935,1607.22,59.937,3.729,1547.283
246.938,2.8671,132.555,1590.66,74.141,4.661,1516.519
296.325,2.83692,131.175,1574.1,88.033,5.593,1486.067
345.713,2.80674,129.795,1557.54,101.612,6.524,1455.928
395.1,2.77656,128.415,1540.98,114.88,7.455,1426.1
444.488,2.74638,127.035,1524.42,127.835,8.386,1396.585
493.875,2.7162,125.654,1507.848,140.478,9.316,1367.37
543.263,2.68602,124.274,1491.288,152.809,10.247,1338.479
592.65,2.65584,122.894,1474.728,164.827,11.177,1309.901
642.038,2.62566,121.514,1458.168,176.534,12.107,1281.634
691.425,2.59548,120.134,1441.608,187.928,13.036,1253.68
740.813,2.5653,118.754,1425.048,199.01,13.965,1226.038
790.2,2.53512,117.373,1408.476,209.78,14.894,1198.696
839.588,2.50494,115.993,1391.916,220.238,15.823,1171.678
888.975,2.47476,114.613,1375.356,230.383,16.751,1144.973
938.363,2.44458,113.233,1358.796,240.217,17.679,1118.579
987.75,2.4144,111.853,1342.236,249.738,18.606,1092.498
1037.138,2.38422,110.473,1325.676,258.947,19.533,1066.729
1086.525,2.35404,109.092,1309.104,267.844,20.46,1041.26
1135.913,2.32386,107.712,1292.544,276.429,21.386,1016.115
1185.3,2.29368,106.332,1275.984,284.701,22.312,991.283
1234.688,2.2635,104.952,1259.424,292.662,23.238,966.762
1284.075,2.23332,103.572,1242.864,300.31,24.163,942.554
1333.463,2.20314,102.192,1226.304,307.646,25.087,918.658
1382.85,2.17296,100.812,1209.744,314.67,26.011,895.074
1432.238,2.14278,99.431,1193.172,321.382,26.935,871.79
1481.625,2.1126,98.051,1176.612,327.781,27.858,848.831
1531.013,2.08242,96.671,1160.052,333.869,28.781,826.183
1580.4,2.05224,95.291,1143.492,339.644,29.702,803.848
1629.788,2.02206,93.911,1126.932,345.107,30.624,781.825
1679.175,1.99188,92.531,1110.372,350.258,31.544,760.114
1728.563,1.9617,91.15,1093.8,355.097,32.465,738.703
1777.95,1.93152,89.77,1077.24,359.623,33.384,717.617
1827.338,1.90134,88.39,1060.68,363.837,34.302,696.843
1876.725,1.87116,87.01,1044.12,367.739,35.22,676.381
1926.113,1.84098,85.63,1027.56,371.329,36.137,656.231
1975.5,1.8108,84.25,1011,374.607,37.053,636.393
2024.888,1.78062,82.869,994.428,377.573,37.969,616.855
2074.275,1.75044,81.489,977.868,380.226,38.883,597.642
2123.663,1.72026,80.109,961.308,382.568,39.797,578.74
2173.05,1.69008,78.729,944.748,384.597,40.709,560.151
2222.438,1.6599,77.349,928.188,386.314,41.62,541.874
2271.825,1.62972,75.969,911.628,387.718,42.53,523.91
2321.213,1.59954,74.588,895.056,388.811,43.44,506.245
2370.6,1.56936,73.208,878.496,389.592,44.348,488.904
2419.988,1.53918,71.828,861.936,390.06,45.254,471.876
