Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
2469.376,1.509,70.448,845.376,390.216,46.159,455.16
2518.763,1.47882,69.068,828.816,390.06,47.062,438.756
2568.151,1.44864,67.688,812.256,389.592,47.964,422.664
2617.538,1.41846,66.308,795.696,388.811,48.864,406.885
2666.926,1.38828,64.927,779.124,387.719,49.763,391.405
2716.313,1.3581,63.547,762.564,386.314,50.66,376.25
2765.701,1.32792,62.167,746.004,384.597,51.554,361.407
2815.088,1.29774,60.787,729.444,382.568,52.447,346.876
2864.476,1.26756,59.407,712.884,380.226,53.336,332.658
2913.863,1.23738,58.027,696.324,377.573,54.224,318.751
2963.251,1.2072,56.646,679.752,374.607,55.109,305.145
3012.638,1.17702,55.266,663.192,371.329,55.991,291.863
3062.026,1.14684,53.886,646.632,367.74,56.87,278.892
3111.413,1.11666,52.506,630.072,363.837,57.745,266.235
3160.801,1.08648,51.126,613.512,359.623,58.617,253.889
3210.188,1.0563,49.746,596.952,355.096,59.485,241.856
3259.576,1.02612,48.365,580.38,350.258,60.35,230.122
3308.963,0.99594,46.985,563.82,345.107,61.209,218.713
3358.351,0.96576,45.605,547.26,339.644,62.063,207.616
3407.738,0.93558,44.225,530.7,333.869,62.911,196.831
3457.126,0.9054,42.845,514.14,327.781,63.753,186.359
3506.513,0.87522,41.465,497.58,321.382,64.589,176.198
3555.901,0.84504,40.084,481.008,314.67,65.419,166.338
3605.288,0.81486,38.704,464.448,307.646,66.239,156.802
3654.676,0.78468,37.324,447.888,300.31,67.05,147.578
3704.063,0.7545,35.944,431.328,292.662,67.851,138.666
3753.451,0.72432,34.564,414.768,284.702,68.641,130.066
3802.838,0.69414,33.184,398.208,276.429,69.418,121.779
3852.226,0.66396,31.804,381.648,267.844,70.181,113.804
3901.613,0.63378,30.423,365.076,258.947,70.93,106.129
3951.001,0.6036,29.043,348.516,249.738,71.658,98.778
4000.388,0.57342,27.663,331.956,240.217,72.364,91.739
4049.776,0.54324,26.283,315.396,230.383,73.046,85.013
4099.163,0.51306,24.903,298.836,220.238,73.699,78.598
4148.551,0.48288,23.523,282.276,209.78,74.317,72.496
4197.938,0.4527,22.142,265.704,199.01,74.899,66.694
4247.326,0.42252,20.762,249.144,187.928,75.429,61.216
4296.713,0.39234,19.382,232.584,176.534,75.901,56.05
4346.101,0.36216,18.002,216.024,164.827,76.3,51.197
4395.488,0.33198,16.622,199.464,152.809,76.61,46.655
4444.876,0.3018,15.242,182.904,140.478,76.804,42.426
4494.263,0.27162,13.861,166.332,127.835,76.855,38.497
4543.651,0.24144,12.481,149.772,114.88,76.703,34.892
4593.038,0.21126,11.101,133.212,101.612,76.278,31.6
4642.426,0.18108,9.721,116.652,88.033,75.466,28.619
4691.813,0.1509,8.341,100.092,74.141,74.073,25.951
4741.201,0.12072,6.961,83.532,59.937,71.753,23.595
4790.588,0.09054,5.58,66.96,45.421,67.833,21.539
4839.976,0.06036,4.2,50.4,30.593,60.7,19.807
4889.363,0.03018,2.82,33.84,15.453,45.665,18.387
4938.751,0,1.44,17.28,0,0,17.28
